Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AAOI,"Applied Optoelectronics, Inc.",41.66,804171728.6,n/a,2013,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi
APTI,"Apptio, Inc.",18.6,743175406.2,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/apti
ANET,"Arista Networks, Inc.",193.1,14005535855,n/a,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/anet
ARRS,ARRIS International plc,28.12,5273524299,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/arrs
ASML,ASML Holding N.V.,178.43,12646521373,70876654,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asml
AZPN,"Aspen Technology, Inc.",66.14,4834781683,n/a,1994,Technology,EDP Services,http://www.nasdaq.com/symbol/azpn
ALOT,"AstroNova, Inc.",12.5,84279575,n/a,1983,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/alot
ASUR,Asure Software Inc,10.83,134521552.7,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/asur
TEAM,Atlassian Corporation Plc,49.28,11259411363,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/team
ATOM,Atomera Incorporated,3.19,38792432.03,n/a,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/atom
ATTU,Attunity Ltd.,6.94,118413368.3,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/attu
AUO,AU Optronics Corp,4.07,3917067760,n/a,2002,Technology,Semiconductors,http://www.nasdaq.com/symbol/auo
ADSK,"Autodesk, Inc.",119.29,26147443264,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adsk
ATHM,Autohome Inc.,58.68,6765641104,n/a,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/athm
ADP,"Automatic Data Processing, Inc.",116.46,51759800103,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adp
AUTO,"AutoWeb, Inc.",7.26,92368602.48,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/auto
AVNW,"Aviat Networks, Inc.",15,79769355,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/avnw
AVID,"Avid Technology, Inc.",4.45,183027672.3,n/a,1993,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/avid
AWRE,"Aware, Inc.",4.6,99954149.8,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/awre
ACLS,"Axcelis Technologies, Inc.",33,1030385433,n/a,2000,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acls
AXTI,AXT Inc,9.05,349824519.2,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/axti
BOSC,B.O.S. Better Online Solutions,1.84,5954826.96,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/bosc
BIDU,"Baidu, Inc.",264,72737295840,275520060,2005,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/bidu
RATE,"Bankrate, Inc.",13.9,1246753258,n/a,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/rate
CUDA,"Barracuda Networks, Inc.",23.26,1239321735,n/a,2013,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/cuda
BBSI,"Barrett Business Services, Inc.",60.3,439910087.4,n/a,1993,Technology,Professional Services,http://www.nasdaq.com/symbol/bbsi
BV,"Bazaarvoice, Inc.",4.9,420855972.6,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bv
BHE,"Benchmark Electronics, Inc.",30.3,1512702321,n/a,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/bhe
BNFT,"Benefitfocus, Inc.",28.7,894860317.4,n/a,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bnft
BGSF,BG Staffing Inc,17.54,153639455,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/bgsf
BKYI,"BIO-key International, Inc.",2.47,16051141.86,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/bkyi
BITA,Bitauto Holdings Limited,50.3,3557519058,n/a,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/bita
BBOX,Black Box Corporation,3.225,48819108.3,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/bbox
BKI,"Black Knight, Inc.",44.7,6859293627,n/a,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bki
BLKB,"Blackbaud, Inc.",91.52,4398548486,n/a,2004,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blkb
BBRY,BlackBerry Limited,11.02,5844013842,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bb
BL,"BlackLine, Inc.",34.17,1792904445,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bl
BDR,"Blonder Tongue Laboratories, Inc.",0.4,3248734,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr
EPAY,"Bottomline Technologies, Inc.",32.84,1326231479,n/a,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/epay
BOX,"Box, Inc.",21.11,2823781514,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/box
BLIN,"Bridgeline Digital, Inc.",2.85,11972416.8,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blin
BCOV,Brightcove Inc.,7,240415882,n/a,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/bcov
AVGO,Broadcom Limited,247.68,1.01E+11,n/a,2009,Technology,Semiconductors,http://www.nasdaq.com/symbol/avgo
BSFT,"BroadSoft, Inc.",54.95,1704207980,n/a,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bsft
BVSN,"BroadVision, Inc.",4.14,20556391.68,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bvsn
BRCD,"Brocade Communications Systems, Inc.",11.86,4907859349,n/a,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/brcd
BRKS,"Brooks Automation, Inc.",32.55,2270665215,n/a,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/brks
CA,CA Inc.,34.29,14445351729,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ca
CCMP,Cabot Microelectronics Corporation,85.54,2164683537,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/ccmp
CACI,"CACI International, Inc.",143.3,3512089402,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/caci
CDNS,"Cadence Design Systems, Inc.",42.31,11855304310,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cdns
CAI,"CAI International, Inc.",38.88,749143067,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/cai
CAMP,CalAmp Corp.,22.62,805302763.2,n/a,1983,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/camp
CALD,"Callidus Software, Inc.",25.55,1728270116,n/a,2003,Technology,EDP Services,http://www.nasdaq.com/symbol/cald
CSIQ,Canadian Solar Inc.,16.68,964648985.6,n/a,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/csiq
CARB,"Carbonite, Inc.",23.35,649107910.9,n/a,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/carb
CARG,"CarGurus, Inc.",29.09,3063366841,n/a,2017,Technology,EDP Services,http://www.nasdaq.com/symbol/carg
CARS,Cars.com Inc.,24.6,1761092770,n/a,2017,Technology,EDP Services,http://www.nasdaq.com/symbol/cars
CSLT,"Castlight Health, inc.",4.25,559671190.8,n/a,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/cslt
CAVM,"Cavium, Inc.",69.03,4746496863,n/a,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/cavm
CLS,"Celestica, Inc.",12.22,1528555124,n/a,1998,Technology,Electrical Products,http://www.nasdaq.com/symbol/cls
CRNT,Ceragon Networks Ltd.,2.05,159784312.4,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/crnt
CERN,Cerner Corporation,72.38,23999949674,n/a,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/cern
CEVA,"CEVA, Inc.",45.65,1002667328,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ceva
CYOU,Changyou.com Limited,39.84,765531815,19215156,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyou
ECOM,ChannelAdvisor Corporation,11.5,303960329.5,n/a,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ecom
CHKP,Check Point Software Technologies Ltd.,117.27,19463912173,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp
CMCM,Cheetah Mobile Inc.,8.27,1187845696,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cmcm
CVR,Chicago Rivet & Machine Co.,31.8,30722997.6,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr
CNIT,"China Information Technology, Inc.",1.27,51093571.93,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnit
CCIH,ChinaCache International Holdings Ltd.,1.12,22414530.88,20012974,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/ccih
CNET,"ChinaNet Online Holdings, Inc.",1.2,14808650.4,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/cnet
IMOS,ChipMOS TECHNOLOGIES INC.,20.56,260064632.5,12649058,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/imos
CRUS,"Cirrus Logic, Inc.",53.6,3419801833,n/a,1989,Technology,Semiconductors,http://www.nasdaq.com/symbol/crus
CSCO,"Cisco Systems, Inc.",34.58,1.71E+11,n/a,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco
CISN,Cision Ltd.,13.15,1586349224,n/a,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cisn
CTXS,"Citrix Systems, Inc.",83.19,12604227127,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs
CLNT,"Cleantech Solutions International, Inc.",4.71,9240412.41,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clnt
CLDR,"Cloudera, Inc.",16.15,2123420459,n/a,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cldr
CTSH,Cognizant Technology Solutions Corporation,74.69,44113608791,n/a,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/ctsh
CHUBA,"CommerceHub, Inc.",22.41,969220577.9,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chuba
CHUBK,"CommerceHub, Inc.",21.31,921646163.1,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chubk
COMM,"CommScope Holding Company, Inc.",32.4,6254538282,n/a,2013,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/comm
CVLT,"Commvault Systems, Inc.",52.5,2389649903,n/a,2006,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvlt
CPSI,"Computer Programs and Systems, Inc.",31.45,432617582.7,n/a,2002,Technology,EDP Services,http://www.nasdaq.com/symbol/cpsi
CTG,"Computer Task Group, Incorporated",5.15,80853918.5,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ctg
CMTL,Comtech Telecommunications Corp.,21.7,511814919.7,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cmtl
CCUR,Concurrent Computer Corporation,6.62,65498961.86,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ccur
CNXR,"Connecture, Inc.",0.28,6405780.36,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnxr
CVG,Convergys Corporation,26.28,2451400765,n/a,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/cvg
CLGX,"CoreLogic, Inc.",48.88,4121009060,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/clgx
CSOD,"Cornerstone OnDemand, Inc.",39.58,2278977612,n/a,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/csod
CPAH,CounterPath Corporation,2.3982,13281675.27,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cpah
COUP,Coupa Software Incorporated,35.23,1888474944,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/coup
CRAY,Cray Inc,18.85,760983453.8,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/cray
CREE,"Cree, Inc.",33.67,3304211915,n/a,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/cree
CRTO,Criteo S.A.,42.57,2717271324,63830663,2013,Technology,Advertising,http://www.nasdaq.com/symbol/crto
CCRN,"Cross Country Healthcare, Inc.",13.86,505811039.6,n/a,2001,Technology,Professional Services,http://www.nasdaq.com/symbol/ccrn
CSGS,"CSG Systems International, Inc.",41.04,1378312682,n/a,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/csgs
CSPI,CSP Inc.,11.09,43512535.47,n/a,1982,Technology,EDP Services,http://www.nasdaq.com/symbol/cspi
CSRA,CSRA Inc.,31.54,5155999513,n/a,2015,Technology,EDP Services,http://www.nasdaq.com/symbol/csra
CTS,CTS Corporation,25.45,838153146.7,n/a,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/cts
CW,Curtiss-Wright Corporation,114.19,5040107486,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cw
CVV,CVD Equipment Corporation,11.0644,70594169.19,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvv
CYBR,CyberArk Software Ltd.,43.47,1496377417,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cybr
CY,Cypress Semiconductor Corporation,15.85,5269937320,n/a,1986,Technology,Semiconductors,http://www.nasdaq.com/symbol/cy
CYRN,CYREN Ltd.,1.84,72100631.84,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyrn
DQ,DAQO New Energy Corp.,36.87,387836967.9,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/dq
DWCH,Datawatch Corporation,11.9,145173574,n/a,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dwch
DVMT,Dell Technologies Inc.,83.25,16911452453,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/dvmt
DTRM,"Determine, Inc. ",2.21,32280183.78,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dtrm
DGII,Digi International Inc.,10.4,276012952.8,n/a,1989,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/dgii
DMRC,Digimarc Corporation,36.1,406749818.8,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dmrc
DGLY,"Digital Ally, Inc.",2.25,15618894.75,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/dgly
DIOD,Diodes Incorporated,33.86,1661622514,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/diod
DLHC,DLH Holdings Corp.,6.08,70526638.08,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/dlhc
DOV,Dover Corporation,95.89,14938807620,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dov
DSPG,"DSP Group, Inc.",13.45,299258545.7,n/a,1994,Technology,Semiconductors,http://www.nasdaq.com/symbol/dspg
DST,"DST Systems, Inc.",57.74,3493780595,n/a,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/dst
DXC,DXC Technology Company,91.41,26023469023,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dxc
ETN,"Eaton Corporation, PLC",79.58,35397184000,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/etn
EBIX,"Ebix, Inc.",66.4,2088415522,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ebix
ELON,Echelon Corporation,4.71,20979070.05,n/a,1998,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/elon
SATS,EchoStar Corporation,54.89,5250150666,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sats
EDGW,"Edgewater Technology, Inc.",6.47,90193126.35,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/edgw
EGAN,eGain Corporation,2.95,80330184.45,n/a,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/egan
EA,Electronic Arts Inc.,113.39,35006636057,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea
EFII,"Electronics for Imaging, Inc.",43,1994260149,n/a,1992,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/efii
ELLI,"Ellie Mae, Inc.",89.52,3077562872,n/a,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/elli
ELTK,Eltek Ltd.,0.64,6491367.68,n/a,1997,Technology,Electrical Products,http://www.nasdaq.com/symbol/eltk
EMAN,eMagin Corporation,2.15,75191047,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/eman
EMKR,EMCORE Corporation,8.4,225784944,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/emkr
EIGI,"Endurance International Group Holdings, Inc.",8.15,1166407658,n/a,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/eigi
WATT,Energous Corporation,11.48,251411322.7,n/a,2014,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/watt
ERII,"Energy Recovery, Inc.",8.14,436112880.9,n/a,2008,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/erii
ENPH,"Enphase Energy, Inc.",1.33,112492756.6,n/a,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/enph
EPAM,"EPAM Systems, Inc.",90.8,4769119000,n/a,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/epam
PLUS,ePlus inc.,92.25,1306923093,n/a,1996,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/plus
ERIC,Ericsson,6.52,2126911479,326213417,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/eric
EVBG,"Everbridge, Inc.",26.51,744806243.9,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/evbg
MRAM,"Everspin Technologies, Inc.",11.78,149304326,n/a,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/mram
EVTC,"Evertec, Inc.",14.35,1038671727,n/a,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/evtc
EVOL,"Evolving Systems, Inc.",4.6,57608440.4,n/a,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/evol
EXA,Exa Corporation,24.18,364351880.9,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/exa
EXTN,Exterran Corporation,30.37,1087048777,n/a,2015,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/extn
EXTR,"Extreme Networks, Inc.",11.62,1314016198,n/a,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/extr
FFIV,"F5 Networks, Inc.",119.15,7571576556,n/a,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ffiv
FB,"Facebook, Inc.",171.8,4.99E+11,n/a,2012,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fb
FDS,FactSet Research Systems Inc.,187.27,7346281681,n/a,1996,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fds
SFUN,Fang Holdings Limited,4.54,1975160142,n/a,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/sfun
FNSR,Finisar Corporation,23.31,2654719140,n/a,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/fnsr
FEYE,"FireEye, Inc.",16.68,3038562307,n/a,2013,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/feye
FSLR,"First Solar, Inc.",48.61,5075729960,n/a,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/fslr
FISV,"Fiserv, Inc.",127.39,26811205141,n/a,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/fisv
FIT,"Fitbit, Inc.",6.06,1411569362,n/a,2015,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/fit
FIVN,"Five9, Inc.",24.53,1352009192,n/a,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/fivn
FLEX,Flex Ltd.,17.78,9465651556,n/a,1994,Technology,Electrical Products,http://www.nasdaq.com/symbol/flex
